"","X__1","X__2","X__3","X__4","X__5","X__6","X__7","X__8","X__9","X__10","X__11","X__12","X__13","X__14","X__15","X__16","X__17","X__18","X__19","X__20","X__21","X__22","X__23","X__24","X__25"
"X__1",0.494606411053366,0.0227182114881324,-0.0247393743267609,0.0167340249674379,0.00276071843073461,3.18921608838635e-05,0.0136632602009907,4.12889109814974e-05,0.00587242720709015,0.000457966401801674,0.00831004110610266,-0.0103277079155278,0.0208229283918551,0.00517275017438626,0.0363777245392695,0.00291977608772622,0.0156912978935793,-0.00297936182376348,0.014458595343601,0.0192567888316536,0.0245554498174226,-0.00803709848806011,-0.0194626296089743,0.00206323212576229,0.000221889550324715
"X__2",0.0227182114881324,0.550012728806227,-0.0197820010958964,0.0208188571526921,0.011919250797715,0.000358993226407186,-0.0349218652644899,-0.0247684707586438,-0.0181111837381005,-0.0107106518365456,0.0105388487736572,0.0174681760907792,-0.016206520454889,0.0388180754341914,0.0152279982862209,-0.025879322191762,-0.0223380886021622,0.0277776236238487,-0.00606887648138599,0.0347795986659639,0.0253082856949839,0.00207286938336493,0.00250792766455858,-0.0142928148655868,0.0243457534111255
"X__3",-0.0247393743267609,-0.0197820010958964,0.495576191646681,0.0223834166202374,0.00556365846805334,-0.0361527091025645,-0.0535727978628588,-0.0259272626085934,0.00463655798599508,0.0147736355639636,0.00806240685764373,0.00531566222885491,0.0209315986088608,-0.00825601032624414,-0.00371009546088653,-0.00488040338252685,-0.00382867347029669,0.00371907452424298,-0.0106142589345201,-0.0201773609044465,-0.0139028591731478,-0.0116724203795089,0.00815388831375516,0.0137213063342406,0.00332949595007144
"X__4",0.0167340249674379,0.0208188571526921,0.0223834166202374,0.52234148626099,-0.00244023175562268,-0.0926913167183416,-0.166039812909562,-0.00873789897402517,0.0316404545255355,0.0323179348769867,0.00795305475125688,0.0163304532081492,0.00964166979968369,0.00402482974346706,0.00105268897420002,-0.0253061856366771,0.0115392477475795,0.000525355876516063,0.0175559398328122,0.0326725708223274,0.0160288717056759,0.0121137450018315,0.0127178244292272,0.0178927416260405,0.0257963062298955
"X__5",0.00276071843073461,0.011919250797715,0.00556365846805334,-0.00244023175562268,0.481302932994274,-0.0390259912691698,-0.0404895015441686,-0.0012427322127893,0.016659033360127,-0.00626597633459552,0.00826305893866784,-0.00229351256261246,0.0175722473728594,0.0279212990292481,0.00245972988485221,0.0504443325606583,-0.0230534969244458,0.016136155424584,0.0448300979537571,0.0256083069461897,-0.00261973571238396,0.0126244233018321,-0.00917234573482019,0.00179719221614374,-0.0195997941666251
"X__6",3.18921608838635e-05,0.000358993226407186,-0.0361527091025645,-0.0926913167183416,-0.0390259912691698,0.743086250727392,0.37545824914742,-0.0218689851524528,-0.0314765376347907,-0.0243518320035366,0.0132668168176872,0.00951935218135154,0.0188138634895004,-0.0155130030016618,-0.0267111934042244,0.0275273545423127,0.010760553886186,-0.00077633494824205,-0.0260269326386737,-0.0409745942476502,-0.00378035182425508,-0.0308201722966894,-0.0224885048514845,-0.0503075832318239,-0.00327593129100879
"X__7",0.0136632602009907,-0.0349218652644899,-0.0535727978628588,-0.166039812909562,-0.0404895015441686,0.37545824914742,1.14537224941095,-0.0563539450497705,-0.0371047077772976,-0.048916839388597,0.0131644380095997,0.0478214461628917,-0.0230236626954916,-0.00464788239114878,-0.0242447474852558,0.00589086748778105,0.0118383048016148,-0.0339948585579861,0.00136340057360408,-0.0291613405910416,0.0257091233006494,-0.0229036271925256,-0.0324904111382149,-0.0450190898036668,0.00850695120015451
"X__8",4.12889109814974e-05,-0.0247684707586438,-0.0259272626085934,-0.00873789897402517,-0.0012427322127893,-0.0218689851524528,-0.0563539450497705,0.501393789613144,-0.00896471324258927,0.0393343802063974,-0.00757874759914349,0.0294214476913135,-0.0145646137864591,-0.0192173574559711,0.0306105070104248,0.00285472686852263,0.0241127224653708,-0.0182674818797419,0.0201858571852544,-0.00704383068534508,0.0204523208233339,0.0377983008984282,0.0203867838274052,0.00777192127192478,0.00983645896282853
"X__9",0.00587242720709015,-0.0181111837381005,0.00463655798599508,0.0316404545255355,0.016659033360127,-0.0314765376347907,-0.0371047077772976,-0.00896471324258927,0.477147414965913,0.0246191995747201,0.000838651290261069,-0.0181806444821201,0.00776386732573948,-0.0263308481625111,0.0113851739416005,-0.0168561137851616,-0.00528575185040992,-0.0129479097928671,0.00138772087226765,-0.0105120115215075,-0.0131090658024911,-0.0162010608871239,0.00403296968046102,0.0168585930542433,0.0166316328226377
"X__10",0.000457966401801674,-0.0107106518365456,0.0147736355639636,0.0323179348769867,-0.00626597633459552,-0.0243518320035366,-0.048916839388597,0.0393343802063974,0.0246191995747201,0.520492211089252,-0.0190234408251568,0.0064343902278958,-0.0420741364235474,-0.0198298003562955,-0.00216874807598723,0.0102466199144717,-0.0053510938770091,-0.0107393475177913,0.0215584851946581,0.00434404807181373,0.00973627564652607,0.00280430077505634,-0.00169335742581964,0.0017009107873373,0.00188076091634483
"X__11",0.00831004110610266,0.0105388487736572,0.00806240685764373,0.00795305475125688,0.00826305893866784,0.0132668168176872,0.0131644380095997,-0.00757874759914349,0.000838651290261069,-0.0190234408251568,0.507645138150301,-0.00976733841379526,-0.009205476094718,-0.0148065827845463,-0.0015283080626711,-0.00153743140124833,0.0013055817697479,0.00563165808018468,0.000594858043692643,0.0143797074484784,0.0427004518721572,0.0117619256142643,0.0078680349496978,0.0147808601419565,0.0291900714019438
"X__12",-0.0103277079155278,0.0174681760907792,0.00531566222885491,0.0163304532081492,-0.00229351256261246,0.00951935218135154,0.0478214461628917,0.0294214476913135,-0.0181806444821201,0.0064343902278958,-0.00976733841379526,0.490679206816558,0.00951180963169675,0.000986837946603758,0.00537691381571922,-0.00966449355130154,0.00308256456293614,0.0320686271672762,-0.0130498280460993,0.00515906837530509,-0.0336963489956533,-0.0185063755126026,-0.0140712521418954,0.0269813513562022,0.0166202869537883
"X__13",0.0208229283918551,-0.016206520454889,0.0209315986088608,0.00964166979968369,0.0175722473728594,0.0188138634895004,-0.0230236626954916,-0.0145646137864591,0.00776386732573948,-0.0420741364235474,-0.009205476094718,0.00951180963169675,0.4922440846,0.0260264642318518,0.0491754845092565,-0.00206508670975102,-0.00937580598748846,-0.0201917738229564,-0.0206307092950461,0.0203340975665615,-0.011176575726668,-0.0197104013251473,-0.0356072261829939,-0.0140884441133291,-0.0177233145722499
"X__14",0.00517275017438626,0.0388180754341914,-0.00825601032624414,0.00402482974346706,0.0279212990292481,-0.0155130030016618,-0.00464788239114878,-0.0192173574559711,-0.0263308481625111,-0.0198298003562955,-0.0148065827845463,0.000986837946603758,0.0260264642318518,0.539256013873311,0.0394215332791649,-0.00427309514877492,-0.0218812125881724,0.00300633874014154,0.000272511551718368,0.0504990159958742,-0.00834185492507427,-0.00101619643591123,-0.000277047203335233,-0.00859379702649002,-0.00589550151613235
"X__15",0.0363777245392695,0.0152279982862209,-0.00371009546088653,0.00105268897420002,0.00245972988485221,-0.0267111934042244,-0.0242447474852558,0.0306105070104248,0.0113851739416005,-0.00216874807598723,-0.0015283080626711,0.00537691381571922,0.0491754845092565,0.0394215332791649,0.510232890278575,0.0153466501355335,-0.00208283245199221,-0.0105076612625716,0.00279111461142738,0.0224298635164384,0.0084359293068808,-0.0283656999641002,0.00978678169061203,0.01057500414455,-0.00917392801472233
"X__16",0.00291977608772622,-0.025879322191762,-0.00488040338252685,-0.0253061856366771,0.0504443325606583,0.0275273545423127,0.00589086748778105,0.00285472686852263,-0.0168561137851616,0.0102466199144717,-0.00153743140124833,-0.00966449355130154,-0.00206508670975102,-0.00427309514877492,0.0153466501355335,0.461019092436415,-0.0163138100919922,-0.000440905314690889,0.0106167549734643,0.00254890209446746,0.00377320536020347,0.00378772155070169,-0.0250625130544866,0.0195657752466911,-0.00147694885829412
"X__17",0.0156912978935793,-0.0223380886021622,-0.00382867347029669,0.0115392477475795,-0.0230534969244458,0.010760553886186,0.0118383048016148,0.0241127224653708,-0.00528575185040992,-0.0053510938770091,0.0013055817697479,0.00308256456293614,-0.00937580598748846,-0.0218812125881724,-0.00208283245199221,-0.0163138100919922,0.459090872992494,-0.0115065738631254,0.0417487527724135,0.00864510706962038,-0.00643578844854822,0.0127728204174745,0.0374164774708368,0.00218861964173711,-0.0250314143972482
"X__18",-0.00297936182376348,0.0277776236238487,0.00371907452424298,0.000525355876516063,0.016136155424584,-0.00077633494824205,-0.0339948585579861,-0.0182674818797419,-0.0129479097928671,-0.0107393475177913,0.00563165808018468,0.0320686271672762,-0.0201917738229564,0.00300633874014154,-0.0105076612625716,-0.000440905314690889,-0.0115065738631254,0.537929756614683,-0.0427219035283166,-0.00605579042721656,-0.00591926771582198,0.0179679834835437,-0.0110675004076211,-0.00141811219091926,0.0256096600399716
"X__19",0.014458595343601,-0.00606887648138599,-0.0106142589345201,0.0175559398328122,0.0448300979537571,-0.0260269326386737,0.00136340057360408,0.0201858571852544,0.00138772087226765,0.0215584851946581,0.000594858043692643,-0.0130498280460993,-0.0206307092950461,0.000272511551718368,0.00279111461142738,0.0106167549734643,0.0417487527724135,-0.0427219035283166,0.503654555963403,-0.00642793302417983,0.00967554776057322,0.0144203106700634,-0.00555473707359184,0.0217471438442376,-0.00917170454034457
"X__20",0.0192567888316536,0.0347795986659639,-0.0201773609044465,0.0326725708223274,0.0256083069461897,-0.0409745942476502,-0.0291613405910416,-0.00704383068534508,-0.0105120115215075,0.00434404807181373,0.0143797074484784,0.00515906837530509,0.0203340975665615,0.0504990159958742,0.0224298635164384,0.00254890209446746,0.00864510706962038,-0.00605579042721656,-0.00642793302417983,0.495607428862043,0.00509600925042474,0.00567622782958316,-0.012498324190408,0.0304423871475986,-0.000125783978378129
"X__21",0.0245554498174226,0.0253082856949839,-0.0139028591731478,0.0160288717056759,-0.00261973571238396,-0.00378035182425508,0.0257091233006494,0.0204523208233339,-0.0131090658024911,0.00973627564652607,0.0427004518721572,-0.0336963489956533,-0.011176575726668,-0.00834185492507427,0.0084359293068808,0.00377320536020347,-0.00643578844854822,-0.00591926771582198,0.00967554776057322,0.00509600925042474,0.538979595465328,-0.00861731068722448,0.00870153219335425,0.0050449009728474,0.0266584642945716
"X__22",-0.00803709848806011,0.00207286938336493,-0.0116724203795089,0.0121137450018315,0.0126244233018321,-0.0308201722966894,-0.0229036271925256,0.0377983008984282,-0.0162010608871239,0.00280430077505634,0.0117619256142643,-0.0185063755126026,-0.0197104013251473,-0.00101619643591123,-0.0283656999641002,0.00378772155070169,0.0127728204174745,0.0179679834835437,0.0144203106700634,0.00567622782958316,-0.00861731068722448,0.499867023658996,-0.00355660024709165,-0.0232684249342915,0.0160557539485278
"X__23",-0.0194626296089743,0.00250792766455858,0.00815388831375516,0.0127178244292272,-0.00917234573482019,-0.0224885048514845,-0.0324904111382149,0.0203867838274052,0.00403296968046102,-0.00169335742581964,0.0078680349496978,-0.0140712521418954,-0.0356072261829939,-0.000277047203335233,0.00978678169061203,-0.0250625130544866,0.0374164774708368,-0.0110675004076211,-0.00555473707359184,-0.012498324190408,0.00870153219335425,-0.00355660024709165,0.546366393508706,-0.00391326093852021,0.00564690306280833
"X__24",0.00206323212576229,-0.0142928148655868,0.0137213063342406,0.0178927416260405,0.00179719221614374,-0.0503075832318239,-0.0450190898036668,0.00777192127192478,0.0168585930542433,0.0017009107873373,0.0147808601419565,0.0269813513562022,-0.0140884441133291,-0.00859379702649002,0.01057500414455,0.0195657752466911,0.00218861964173711,-0.00141811219091926,0.0217471438442376,0.0304423871475986,0.0050449009728474,-0.0232684249342915,-0.00391326093852021,0.47573595755155,-0.0243047832922939
"X__25",0.000221889550324715,0.0243457534111255,0.00332949595007144,0.0257963062298955,-0.0195997941666251,-0.00327593129100879,0.00850695120015451,0.00983645896282853,0.0166316328226377,0.00188076091634483,0.0291900714019438,0.0166202869537883,-0.0177233145722499,-0.00589550151613235,-0.00917392801472233,-0.00147694885829412,-0.0250314143972482,0.0256096600399716,-0.00917170454034457,-0.000125783978378129,0.0266584642945716,0.0160557539485278,0.00564690306280833,-0.0243047832922939,0.463887806255035
